source,rmse_m,max_error_m,mae_m,n_samples,mean_cov_trace,coverage_2sigma_pct,mean_runtime_ms,mean_ess,min_ess,process_scale,measurement_scale
kf,0.08509473357788808,0.22041329084472183,0.07673610403397256,321,0.05924341433021807,100.0,0.12435658878504673,,,0.5,0.5
ekf,0.0884018357401647,0.22035639128693316,0.08019760505042499,321,0.0606220691588785,100.0,0.13502890031152648,,,0.5,0.5
pf,0.09201573576387721,0.28284034207305014,0.07900283799539097,321,0.055344763582554524,100.0,7.08622710280374,485.2984423676012,341.046,0.5,0.5
kf,0.08013927890468511,0.23338214800836843,0.07074180021937847,319,0.09482168119122257,100.0,0.13084870846394983,,,0.5,1.0
ekf,0.08387524348393265,0.23377824865457433,0.0748254590076259,319,0.10171535047021944,100.0,0.12338480564263322,,,0.5,1.0
pf,0.0800071654046736,0.2188360458516832,0.07029141842288708,319,0.08846159448275862,100.0,8.19158040752351,604.9572821316614,303.352,0.5,1.0
kf,0.09953688103036804,0.22731295871551185,0.08687856820645416,316,0.1452373420886076,100.0,0.12520651898734178,,,0.5,2.0
ekf,0.10389843959375882,0.2664312647269462,0.09216966117157052,316,0.16480817341772153,100.0,0.13819609810126582,,,0.5,2.0
pf,0.11864425330593398,0.2876928892065287,0.10398636748308904,316,0.13446099588607596,100.0,7.300979335443038,685.3585253164558,220.326,0.5,2.0
kf,0.09063925928751156,0.2690003898956282,0.07761570741212805,317,0.06959498643533123,100.0,0.1785278233438486,,,1.0,0.5
ekf,0.09440696712122737,0.2691350092425733,0.08319185986470154,317,0.0684068902208202,100.0,0.16403235331230284,,,1.0,0.5
pf,0.09366842766197828,0.26955374877934823,0.08002258480422121,317,0.06461755495268139,100.0,7.211115899053627,351.5520063091483,276.333,1.0,0.5
kf,0.08430839397331535,0.23213672131741675,0.07353179494396583,326,0.11552112914110431,100.0,0.14831112269938648,,,1.0,1.0
ekf,0.08919421723509464,0.23219399339560884,0.07973824930105292,326,0.11672183435582821,100.0,0.14065803987730063,,,1.0,1.0
pf,0.09256094592153498,0.23077539491895582,0.08233242240388439,326,0.10645181472392638,100.0,7.885210552147238,454.5687699386503,201.479,1.0,1.0
kf,0.09147316619951502,0.2428172662723968,0.07919689294656816,318,0.18483104685534593,100.0,0.12739491509433962,,,1.0,2.0
ekf,0.09526437224097214,0.24536155301921295,0.0847101050718962,318,0.19612656981132076,100.0,0.13718577358490566,,,1.0,2.0
pf,0.13806389536328884,0.3529563351180993,0.12286651829505671,318,0.17061189779874214,100.0,7.643969528301885,563.0058050314466,202.159,1.0,2.0
kf,0.08614135935078905,0.24162021086200544,0.0773015854488335,315,0.07858398476190476,100.0,0.12526232063492063,,,2.0,0.5
ekf,0.09175130139564106,0.24162089474422524,0.0841326475965049,315,0.0757130492063492,100.0,0.11754958095238095,,,2.0,0.5
pf,0.1083718210930822,0.24837217358633398,0.09993979129852018,315,0.07335837415873016,100.0,6.932859365079365,234.24086031746037,146.19,2.0,0.5
kf,0.09410712898751138,0.24535097656214852,0.08350112922893904,321,0.13674642056074765,100.0,0.13287731464174454,,,2.0,1.0
ekf,0.09749980460656642,0.24614547609086784,0.08836507196795156,321,0.13412674579439254,100.0,0.12642095327102804,,,2.0,1.0
pf,0.1007489600800494,0.2650223315118936,0.08983759621795191,321,0.1268304414330218,100.0,7.299744112149532,313.4478785046729,183.066,2.0,1.0
kf,0.08789308456226595,0.23554980132447587,0.07763893825703931,309,0.22834413495145633,100.0,0.1661805922330097,,,2.0,2.0
ekf,0.09244756574059167,0.23546959640896326,0.08341841743213686,309,0.23190762783171523,100.0,0.14945559870550162,,,2.0,2.0
pf,0.09598152948709414,0.24019442957737389,0.08526804578750305,309,0.2117384644012945,100.0,7.0139136569579295,426.8708414239483,140.311,2.0,2.0
