time,source,frame,x,y,theta,cov_xx,cov_yy,cov_xy,runtime_ms,ess,resampling_triggered
4.8,amcl,map,-1.97905,-0.526204,-0.0142275,0.188286,0.224508,-0.0113683,,,
5.802,amcl,map,-2.00738,-0.49875,0.00658328,0.168198,0.207707,-0.00606817,,,
5.832,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
5.868,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
5.904,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
5.94,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
5.976,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.012,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.048,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.084,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.12,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.156,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.192,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.228,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.264,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.3,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.336,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.372,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.408,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.444,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.48,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.516,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.552,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.588,odom,map,-1.97905,-0.526204,-0.0142275,0,0,0,,,
6.624,odom,map,-1.98229,-0.523063,-0.0118461,0,0,0,,,
6.66,odom,map,-1.98737,-0.518146,-0.00811885,0,0,0,,,
6.696,odom,map,-1.99244,-0.513228,-0.00439155,0,0,0,,,
6.732,odom,map,-1.99751,-0.508311,-0.000664247,0,0,0,,,
6.768,odom,map,-2.00259,-0.503394,0.00306305,0,0,0,,,
6.804,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
6.801,amcl,map,-1.97233,-0.515052,0.000806067,0.193195,0.235998,-0.0145615,,,
6.84,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
6.876,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
6.912,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
6.948,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
6.984,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.02,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.056,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.092,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.128,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.164,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.2,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.236,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.272,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.308,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.344,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.38,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.416,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.452,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.488,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.524,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.56,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
7.596,odom,map,-2.00738,-0.49875,0.00658328,0,0,0,,,
