time,source,frame,x,y,theta,cov_xx,cov_yy,cov_xy,runtime_ms,ess,resampling_triggered
4.8,amcl,map,-1.97641,-0.526564,-0.0151862,0.178932,0.207953,-0.012029,,,
5.802,amcl,map,-1.99901,-0.508263,0.00540612,0.165939,0.195823,-0.00229503,,,
5.832,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
5.868,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
5.904,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
5.94,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
5.976,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.012,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.048,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.084,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.12,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.156,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.192,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.228,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.264,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.3,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.336,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.372,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.408,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.444,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.48,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.516,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.552,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.588,odom,map,-1.97641,-0.526564,-0.0151862,0,0,0,,,
6.624,odom,map,-1.979,-0.52447,-0.0128298,0,0,0,,,
6.66,odom,map,-1.98305,-0.521192,-0.00914168,0,0,0,,,
6.696,odom,map,-1.98709,-0.517914,-0.0054535,0,0,0,,,
6.732,odom,map,-1.99114,-0.514636,-0.00176533,0,0,0,,,
6.768,odom,map,-1.99519,-0.511358,0.00192284,0,0,0,,,
6.804,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
6.801,amcl,map,-1.97131,-0.526022,0.00151345,0.195241,0.238131,-0.0108871,,,
6.84,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
6.876,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
6.912,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
6.948,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
6.984,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.02,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.056,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.092,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.128,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.164,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.2,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.236,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.272,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.308,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.344,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.38,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
7.416,odom,map,-1.99901,-0.508263,0.00540612,0,0,0,,,
