time,source,frame,x,y,theta,cov_xx,cov_yy,cov_xy,runtime_ms,ess,resampling_triggered
4.8,amcl,map,-1.97079,-0.522738,-0.01625,0.177911,0.217662,-0.0165764,,,
5.802,amcl,map,-2.00122,-0.49795,0.00393659,0.164383,0.209535,-0.00382266,,,
5.904,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
5.94,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
5.976,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.012,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.048,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.084,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.12,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.156,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.192,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.228,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.264,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.3,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.336,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.372,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.408,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.444,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.48,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.516,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.552,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.588,odom,map,-1.97079,-0.522738,-0.01625,0,0,0,,,
6.624,odom,map,-1.97427,-0.519902,-0.0139401,0,0,0,,,
6.66,odom,map,-1.97972,-0.515462,-0.0103246,0,0,0,,,
6.696,odom,map,-1.98517,-0.511022,-0.00670908,0,0,0,,,
6.732,odom,map,-1.99062,-0.506582,-0.00309357,0,0,0,,,
6.768,odom,map,-1.99607,-0.502143,0.000521943,0,0,0,,,
6.804,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
6.801,amcl,map,-1.97542,-0.517203,0.0058406,0.192044,0.239701,-0.0126622,,,
6.84,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
6.876,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
6.912,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
6.948,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
6.984,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.02,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.056,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.092,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.128,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.164,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.2,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.236,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.272,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.308,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.344,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.38,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.416,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.452,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.488,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.524,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.56,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.596,odom,map,-2.00122,-0.49795,0.00393659,0,0,0,,,
7.632,odom,map,-1.99711,-0.501015,0.00423972,0,0,0,,,
7.668,odom,map,-1.99249,-0.504463,0.00458073,0,0,0,,,
7.704,odom,map,-1.98787,-0.507911,0.00492175,0,0,0,,,
7.74,odom,map,-1.98325,-0.51136,0.00526277,0,0,0,,,
7.776,odom,map,-1.97863,-0.514808,0.00560378,0,0,0,,,
7.812,odom,map,-1.97542,-0.517203,0.0058406,0,0,0,,,
7.8,amcl,map,-1.9826,-0.467298,0.00164003,0.177128,0.233355,-0.017465,,,
7.848,odom,map,-1.97542,-0.517203,0.0058406,0,0,0,,,
7.884,odom,map,-1.97542,-0.517203,0.0058406,0,0,0,,,
7.92,odom,map,-1.97542,-0.517203,0.0058406,0,0,0,,,
7.956,odom,map,-1.97542,-0.517203,0.0058406,0,0,0,,,
7.992,odom,map,-1.97542,-0.517203,0.0058406,0,0,0,,,
8.028,odom,map,-1.97542,-0.517203,0.0058406,0,0,0,,,
8.064,odom,map,-1.97542,-0.517203,0.0058406,0,0,0,,,
8.1,odom,map,-1.97542,-0.517203,0.0058406,0,0,0,,,
8.136,odom,map,-1.97542,-0.517203,0.0058406,0,0,0,,,
